chinese|pinyin|spanish|category
我学习汉语。|Wǒ xuéxí Hànyǔ.|Estudio chino.|Ejemplos PUCP  
再见，朋友！|Zàijiàn, péngyou!|¡Adiós, amigo!|Ejemplos PUCP  
这是米饭。|Zhè shì mǐfàn.|Esto es arroz cocido.|Ejemplos PUCP  
爸爸喜欢喝茶。|Bàba xǐhuān hē chá.|A papá le gusta tomar té.|Ejemplos PUCP  
她很小。|Tā hěn xiǎo.|Ella es muy pequeña.|Ejemplos PUCP  
那个包子很大。|Nàge bāozi hěn dà.|Ese bollo al vapor es muy grande.|Ejemplos PUCP  
您贵姓？|Nín guìxìng?|¿Cuál es su apellido?|Ejemplos PUCP  
我叫马大为。|Wǒ jiào Mǎ Dàwéi.|Me llamo Ma Dawei.|Ejemplos PUCP  
请问，这是北京吗？|Qǐngwèn, zhè shì Běijīng ma?|Disculpe, ¿esto es Pekín?|Ejemplos PUCP  
你忙吗？|Nǐ máng ma?|¿Estás ocupado?|Ejemplos PUCP  
我不饿。|Wǒ bù è.|No tengo hambre.|Ejemplos PUCP  
他很累。|Tā hěn lèi.|Él está muy cansado.|Ejemplos PUCP  
上海很大。|Shànghǎi hěn dà.|Shanghái es muy grande.|Ejemplos PUCP  
你喜欢吃比萨饼吗？|Nǐ xǐhuān chī bǐsàbǐng ma?|¿Te gusta la pizza?|Ejemplos PUCP  
这是法国的面包。|Zhè shì Fǎguó de miànbāo.|Este es pan francés.|Ejemplos PUCP  
他是英国人。|Tā shì Yīngguó rén.|Él es británico.|Ejemplos PUCP  
宋华是中国老师。|Sòng Huá shì Zhōngguó lǎoshī.|Song Hua es profesora china.|Ejemplos PUCP  
早上好！|Zǎoshang hǎo!|¡Buenos días!|Ejemplos PUCP  
你们都喜欢面条儿吗？|Nǐmen dōu xǐhuān miàntiáor ma?|¿A todos les gustan los fideos?|Ejemplos PUCP  
我姓陈。|Wǒ xìng Chén.|Mi apellido es Chen.|Ejemplos PUCP  
点心很好吃。|Diǎnxīn hěn hǎochī.|Los bocadillos son muy ricos.|Ejemplos PUCP  
她在哪里？|Tā zài nǎlǐ?|¿Dónde está ella?|Ejemplos PUCP  
请坐。|Qǐng zuò.|Por favor, siéntese.|Ejemplos PUCP  
谢谢妈妈！|Xièxie māma!|¡Gracias, mamá!|Ejemplos PUCP  
最近怎么样？|Zuìjìn zěnmeyàng?|¿Cómo has estado últimamente?|Ejemplos PUCP  
你呢？|Nǐ ne?|¿Y tú?|Ejemplos PUCP  
我喜欢中国。|Wǒ xǐhuān Zhōngguó.|Me gusta China.|Ejemplos PUCP  
西班牙很漂亮。|Xībānyá hěn piàoliang.|España es muy bonita.|Ejemplos PUCP  
德国和法国很近。|Déguó hé Fǎguó hěn jìn.|Alemania y Francia están cerca.|Ejemplos PUCP  
加拿大很大。|Jiānádà hěn dà.|Canadá es muy grande.|Ejemplos PUCP  
俄罗斯很冷。|Éluósī hěn lěng.|Rusia es muy fría.|Ejemplos PUCP  
日本和韩国很近。|Rìběn hé Hánguó hěn jìn.|Japón y Corea del Sur están cerca.|Ejemplos PUCP  
泰国菜很好吃。|Tàiguó cài hěn hǎochī.|La comida tailandesa es muy rica.|Ejemplos PUCP  
印度很大。|Yìndù hěn dà.|India es muy grande.|Ejemplos PUCP  
埃及有金字塔。|Āijí yǒu jīnzìtǎ.|Egipto tiene pirámides.|Ejemplos PUCP  
澳大利亚很热。|Àodàlìyà hěn rè.|Australia es muy calurosa.|Ejemplos PUCP  
我渴了。|Wǒ kě le.|Tengo sed.|Ejemplos PUCP  
他困了。|Tā kùn le.|Él tiene sueño.|Ejemplos PUCP  
马马虎虎。|Mǎmǎhūhū.|Más o menos.|Ejemplos PUCP  
丁力波是美国学生。|Dīng Lìbō shì Měiguó xuéshēng.|Ding Libo es estudiante estadounidense.|Ejemplos PUCP  
林哪是哪国人？|Lín Nǎ shì nǎ guó rén?|¿De qué país es Lin Na?|Ejemplos PUCP  
我的爸爸喜欢米饭。|Wǒ de bàba xǐhuān mǐfàn.|A mi papá le gusta el arroz.|Ejemplos PUCP  
妈妈在看那本书。|Māma zài kàn nà běn shū.|Mamá está leyendo ese libro.|Ejemplos PUCP  
他是法国人。|Tā shì Fǎguó rén.|Él es francés.|Ejemplos PUCP  
汉堡包很好吃。|Hànbǎobāo hěn hǎochī.|La hamburguesa es muy rica.|Ejemplos PUCP  
你们要喝茶吗？|Nǐmen yào hē chá ma?|¿Queréis tomar té?|Ejemplos PUCP  
王小云喜欢包子。|Wáng Xiǎoyún xǐhuān bāozi.|A Wang Xiaoyun le gustan los bollos al vapor.|Ejemplos PUCP  
比萨饼很大。|Bǐsàbǐng hěn dà.|La pizza es muy grande.|Ejemplos PUCP  
中国菜很好吃。|Zhōngguó cài hěn hǎochī.|La comida china es deliciosa.|Ejemplos PUCP  
西班牙很热。|Xībānyá hěn rè.|España es muy calurosa.|Ejemplos PUCP  
德国啤酒很棒。|Déguó píjiǔ hěn bàng.|La cerveza alemana es excelente.|Ejemplos PUCP  
加拿大有很多树。|Jiānádà yǒu hěn duō shù.|Canadá tiene muchos árboles.|Ejemplos PUCP  
英国下雨了。|Yīngguó xià yǔ le.|Está lloviendo en Reino Unido.|Ejemplos PUCP  
澳大利亚的动物很特别。|Àodàlìyà de dòngwù hěn tèbié.|Los animales de Australia son muy especiales.|Ejemplos PUCP  
俄罗斯冬天很冷。|Éluósī dōngtiān hěn lěng.|El invierno en Rusia es muy frío.|Ejemplos PUCP  
日本科技很发达。|Rìběn kējì hěn fādá.|La tecnología japonesa es muy avanzada.|Ejemplos PUCP  
韩国音乐很流行。|Hánguó yīnyuè hěn liúxíng.|La música coreana es muy popular.|Ejemplos PUCP  
泰国旅游很好玩。|Tàiguó lǚyóu hěn hǎowán.|Viajar a Tailandia es muy divertido.|Ejemplos PUCP  
印度人口很多。|Yìndù rénkǒu hěn duō.|India tiene mucha población.|Ejemplos PUCP  
埃及有古老的历史。|Āijí yǒu gǔlǎo de lìshǐ.|Egipto tiene una historia antigua.|Ejemplos PUCP  
点心很甜。|Diǎnxīn hěn tián.|Los bocadillos son muy dulces.|Ejemplos PUCP  
我喜欢吃面条儿。|Wǒ xǐhuān chī miàntiáor.|Me gusta comer fideos.|Ejemplos PUCP  
他不喜欢饺子。|Tā bù xǐhuān jiǎozi.|A él no le gustan las empanadillas.|Ejemplos PUCP  
这是玉做的。|Zhè shì yù zuò de.|Esto está hecho de jade.|Ejemplos PUCP  
贝很漂亮。|Bèi hěn piàoliang.|La concha es muy bonita.|Ejemplos PUCP  
我的同学很忙。|Wǒ de tóngxué hěn máng.|Mi compañero de clase está muy ocupado.|Ejemplos PUCP  
早上我不饿。|Zǎoshang wǒ bù è.|Por la mañana no tengo hambre.|Ejemplos PUCP  
你们认识宋华吗？|Nǐmen rènshi Sòng Huá ma?|¿Conocéis a Song Hua?|Ejemplos PUCP  
请问您贵姓？|Qǐngwèn nín guìxìng?|Disculpe, ¿cuál es su apellido?|Ejemplos PUCP  
我姓王。|Wǒ xìng Wáng.|Mi apellido es Wang.|Ejemplos PUCP  
他是我的老师。|Tā shì wǒ de lǎoshī.|Él es mi profesor.|Ejemplos PUCP  
我很高兴认识您。|Wǒ hěn gāoxìng rènshi nín.|Estoy muy contento de conocerle.|Ejemplos PUCP  
这是谁的书？|Zhè shì shéi de shū?|¿De quién es este libro?|Ejemplos PUCP  
那是什么？|Nà shì shénme?|¿Qué es eso?|Ejemplos PUCP  
我的名字叫林哪。|Wǒ de míngzi jiào Lín Nǎ.|Mi nombre es Lin Na.|Ejemplos PUCP  
丁力波是美国同学。|Dīng Lìbō shì Měiguó tóngxué.|Ding Libo es un compañero de clase estadounidense.|Ejemplos PUCP  
马大为喜欢中国。|Mǎ Dàwéi xǐhuān Zhōngguó.|A Ma Dawei le gusta China.|Ejemplos PUCP  
上海的城市很大。|Shànghǎi de chéngshì hěn dà.|La ciudad de Shanghái es enorme.|Ejemplos PUCP  
北京有很多人。|Běijīng yǒu hěn duō rén.|Pekín tiene mucha gente.|Ejemplos PUCP  
美国的经济很强。|Měiguó de jīngjì hěn qiáng.|La economía de EE.UU. es fuerte.|Ejemplos PUCP  
力是重要的。|Lì shì zhòngyào de.|La fuerza es importante.|Ejemplos PUCP  
生词很难。|Shēngcí hěn nán.|Las palabras nuevas son difíciles.|Ejemplos PUCP  
言多必失。|Yán duō bì shī.|Hablar mucho lleva a errores.|Ejemplos PUCP  
人很多。|Rén hěn duō.|Hay mucha gente.|Ejemplos PUCP  
木头很硬。|Mùtou hěn yìng.|La madera es muy dura.|Ejemplos PUCP  
羊很可爱。|Yáng hěn kě'ài.|Las ovejas son muy tiernas.|Ejemplos PUCP  
井水很凉。|Jǐngshuǐ hěn liáng.|El agua del pozo es muy fría.|Ejemplos PUCP  
土地很肥沃。|Tǔdì hěn féiwò.|La tierra es muy fértil.|Ejemplos PUCP  
我很困。|Wǒ hěn kùn.|Tengo mucho sueño.|Ejemplos PUCP  
他渴了。|Tā kě le.|Él tiene sed.|Ejemplos PUCP  
马马虎虎的回答。|Mǎmǎhūhū de huídá.|Una respuesta mediocre.|Ejemplos PUCP  
你是谁？|Nǐ shì shéi?|¿Quién eres?|Preguntas y respuestas  
你叫什么名字？|Nǐ jiào shénme míngzi?|¿Cómo te llamas?|Preguntas y respuestas  
你姓什么？|Nǐ xìng shénme?|¿Cuál es tu apellido?|Preguntas y respuestas  
你是哪国人？|Nǐ shì nǎ guó rén?|¿De qué país eres?|Preguntas y respuestas  
你在哪里？|Nǐ zài nǎlǐ?|¿Dónde estás?|Preguntas y respuestas  
你在学什么？|Nǐ zài xué shénme?|¿Qué estás estudiando?|Preguntas y respuestas  
你喜欢吃什么？|Nǐ xǐhuān chī shénme?|¿Qué te gusta comer?|Preguntas y respuestas  
这是什么？|Zhè shì shénme?|¿Qué es esto?|Preguntas y respuestas  
那是什么？|Nà shì shénme?|¿Qué es eso?|Preguntas y respuestas  
你的爸爸喜欢什么？|Nǐ de bàba xǐhuān shénme?|¿Qué le gusta a tu papá?|Preguntas y respuestas  
你的妈妈喜欢什么？|Nǐ de māma xǐhuān shénme?|¿Qué le gusta a tu mamá?|Preguntas y respuestas  
这是谁的书？|Zhè shì shéi de shū?|¿De quién es este libro?|Preguntas y respuestas  
他是谁？|Tā shì shéi?|¿Quién es él?|Preguntas y respuestas  
她是谁？|Tā shì shéi?|¿Quién es ella?|Preguntas y respuestas  
你们在做什么？|Nǐmen zài zuò shénme?|¿Qué estáis haciendo?|Preguntas y respuestas  
你在看什么？|Nǐ zài kàn shénme?|¿Qué estás mirando?|Preguntas y respuestas  
你喜欢哪个国家？|Nǐ xǐhuān nǎge guójiā?|¿Qué país te gusta?|Preguntas y respuestas  
中国在哪里？|Zhōngguó zài nǎlǐ?|¿Dónde está China?|Preguntas y respuestas  
西班牙怎么样？|Xībānyá zěnmeyàng?|¿Cómo es España?|Preguntas y respuestas  
法国菜好吃吗？|Fǎguó cài hǎochī ma?|¿La comida francesa es rica?|Preguntas y respuestas  
你为什么学汉语？|Nǐ wèishéme xué Hànyǔ?|¿Por qué estudias chino?|Preguntas y respuestas  
你什么时候来？|Nǐ shénme shíhou lái?|¿Cuándo vienes?|Preguntas y respuestas  
你饿了吗？|Nǐ è le ma?|¿Tienes hambre?|Preguntas y respuestas  
你渴了吗？|Nǐ kě le ma?|¿Tienes sed?|Preguntas y respuestas  
你累了吗？|Nǐ lèi le ma?|¿Estás cansado?|Preguntas y respuestas  
你忙什么？|Nǐ máng shénme?|¿Con qué estás ocupado?|Preguntas y respuestas  
你的同学是谁？|Nǐ de tóngxué shì shéi?|¿Quién es tu compañero de clase?|Preguntas y respuestas  
你的老师贵姓？|Nǐ de lǎoshī guìxìng?|¿Cuál es el apellido de tu profesor?|Preguntas y respuestas  
上海怎么样？|Shànghǎi zěnmeyàng?|¿Cómo es Shanghái?|Preguntas y respuestas  
北京大吗？|Běijīng dà ma?|¿Es Pekín grande?|Preguntas y respuestas  
你喜欢什么点心？|Nǐ xǐhuān shénme diǎnxīn?|¿Qué bocadillos te gustan?|Preguntas y respuestas  
你吃米饭吗？|Nǐ chī mǐfàn ma?|¿Comes arroz?|Preguntas y respuestas  
你喜欢面条儿吗？|Nǐ xǐhuān miàntiáor ma?|¿Te gustan los fideos?|Preguntas y respuestas  
饺子好吃吗？|Jiǎozi hǎochī ma?|¿Las empanadillas son ricas?|Preguntas y respuestas  
包子大吗？|Bāozi dà ma?|¿Los bollos al vapor son grandes?|Preguntas y respuestas  
汉堡包怎么样？|Hànbǎobāo zěnmeyàng?|¿Cómo está la hamburguesa?|Preguntas y respuestas  
比萨饼好吃吗？|Bǐsàbǐng hǎochī ma?|¿La pizza está rica?|Preguntas y respuestas  
你喜欢什么饮料？|Nǐ xǐhuān shénme yǐnliào?|¿Qué bebida te gusta?|Preguntas y respuestas  
你认识谁？|Nǐ rènshi shéi?|¿A quién conoces?|Preguntas y respuestas  
你高兴吗？|Nǐ gāoxìng ma?|¿Estás contento?|Preguntas y respuestas  
你喜欢和谁学习？|Nǐ xǐhuān hé shéi xuéxí?|¿Con quién te gusta estudiar?|Preguntas y respuestas  
你最近怎么样？|Nǐ zuìjìn zěnmeyàng?|¿Cómo has estado últimamente?|Preguntas y respuestas  
