chinese|pinyin|spanish|category
你朋友是哪国人？|Nǐ péngyou shì nǎ guó rén?|¿De qué nacionalidad es tu amigo?|Oral Exam Sentences
他是中国人。|Tā shì Zhōngguó rén.|Él es chino.|Oral Exam Sentences
她是秘鲁人。|Tā shì Bìlǔ rén.|Ella es peruana.|Oral Exam Sentences
我们是美国人。|Wǒmen shì Měiguó rén.|Nosotros somos estadounidenses.|Oral Exam Sentences
你朋友是不是德国人？|Nǐ péngyou shì bu shì Déguó rén?|¿Tu amigo es alemán o no?|Oral Exam Sentences
是，他是德国人。|Shì, tā shì Déguó rén.|Sí, él es alemán.|Oral Exam Sentences
不是，他不是德国人。他是法国人。|Búshì, tā bú shì Déguó rén. Tā shì Fàguó rén.|No, él no es alemán. Es francés.|Oral Exam Sentences
不，我是德国人。|Bù, wǒ shì Déguó rén.|No, yo soy alemán.|Oral Exam Sentences
你朋友是北京人吗？|Nǐ péngyou shì Běijīng rén ma?|¿Tu amigo es de Beijing?|Oral Exam Sentences
是，他是北京人。|Shì, tā shì Běijīng rén.|Sí, él es de Beijing.|Oral Exam Sentences
不是，他是上海人。|Búshì, tā shì Shànghǎi rén.|No, él es de Shanghai.|Oral Exam Sentences
不，她是利马人。|Bù, tā shì Lìmǎ rén.|No, ella es de Lima.|Oral Exam Sentences
请问，您贵姓？|Qǐngwèn, nín guìxìng?|Disculpe, ¿cuál es su honorable apellido? (Muy formal)|Oral Exam Sentences
我姓[姓]。|Wǒ xìng [xìng].|Mi apellido es [apellido].|Oral Exam Sentences
免贵姓[姓]。|Miǎn guì xìng [xìng].|(Respuesta humilde) Mi apellido es [apellido].|Oral Exam Sentences
他姓陈。|Tā xìng Chén.|Su apellido es Chen.|Oral Exam Sentences
你学习什么语言？|Nǐ xuéxí shénme yǔyán?|¿Qué idioma estudias?|Oral Exam Sentences
我学习汉语。|Wǒ xuéxí Hànyǔ.|Yo estudio chino.|Oral Exam Sentences
他学习英语和汉语。|Tā xuéxí Yīngyǔ hé Hànyǔ.|Él estudia inglés y chino.|Oral Exam Sentences
我们学习西班牙语。|Wǒmen xuéxí Xībānyá yǔ.|Nosotros estudiamos español.|Oral Exam Sentences
你姐姐学习汉语吗？|Nǐ jiějie xuéxí Hànyǔ ma?|¿Tu hermana mayor estudia chino?|Oral Exam Sentences
是的，她学习汉语。|Shì de, tā xuéxí Hànyǔ.|Sí, ella estudia chino.|Oral Exam Sentences
不，她不学习汉语。她学习法语。|Bù, tā bù xuéxí Hànyǔ. Tā xuéxí Fǎyǔ.|No, ella no estudia chino. Estudia francés.|Oral Exam Sentences
对，我哥哥也学习汉语。|Duì, wǒ gēge yě xuéxí Hànyǔ.|Correcto, mi hermano mayor también estudia chino.|Oral Exam Sentences
你老师叫什么名字？|Nǐ lǎoshī jiào shénme míngzì?|¿Cómo se llama tu profesor?|Oral Exam Sentences
我的老师叫[名字]。|Wǒ de lǎoshī jiào [míngzì].|Mi profesor se llama [nombre].|Oral Exam Sentences
他叫王老师。|Tā jiào Wáng lǎoshī.|Se llama Profesor Wang.|Oral Exam Sentences
她的中文老师姓李。|Tā de Zhōngwén lǎoshī xìng Lǐ.|Su profesora de chino se apellida Li.|Oral Exam Sentences
这是什么？|Zhè shì shénme?|¿Qué es esto?|Oral Exam Sentences
这是书。|Zhè shì shū.|Esto es un libro.|Oral Exam Sentences
这是咖啡。|Zhè shì kāfēi.|Esto es café.|Oral Exam Sentences
那是一支笔。|Nà shì yì zhī bǐ.|Eso es un bolígrafo.|Oral Exam Sentences
那是什么？|Nà shì shénme?|¿Qué es eso?|Oral Exam Sentences
那是电脑。|Nà shì diànnǎo.|Eso es una computadora.|Oral Exam Sentences
那是茶。|Nà shì chá.|Eso es té.|Oral Exam Sentences
这是一张桌子。|Zhè shì yì zhāng zhuōzi.|Esto es una mesa.|Oral Exam Sentences
你爸爸是上海人吗？|Nǐ bàba shì Shànghǎi rén ma?|¿Tu papá es de Shanghai?|Oral Exam Sentences
是的，他是上海人。|Shì de, tā shì Shànghǎi rén.|Sí, él es de Shanghai.|Oral Exam Sentences
不是，他是北京人。|Búshì, tā shì Běijīng rén.|No, él es de Beijing.|Oral Exam Sentences
不，我妈妈是上海人。|Bù, wǒ māma shì Shànghǎi rén.|No, mi mamá es de Shanghai.|Oral Exam Sentences
点心好吃吗？|Diǎnxīn hǎo chī ma?|¿Están ricos los dim sum?|Oral Exam Sentences
很好吃。|Hěn hǎo chī.|Están muy ricos.|Oral Exam Sentences
非常好吃。|Fēicháng hǎo chī.|Son extremadamente deliciosos.|Oral Exam Sentences
包子很好吃。|Bāozi hěn hǎo chī.|Los bollos al vapor están muy ricos.|Oral Exam Sentences
咖啡和茶好喝吗？|Kāfēi hé chá hǎo hē ma?|¿El café y el té son ricos?|Oral Exam Sentences
很好喝。|Hěn hǎo hē.|Son muy ricos.|Oral Exam Sentences
咖啡好喝，茶不好喝。|Kāfēi hǎo hē, chá bù hǎo hē.|El café es rico, el té no es rico.|Oral Exam Sentences
茶很好喝。|Chá hěn hǎo hē.|El té es muy rico.|Oral Exam Sentences
你妹妹喜欢吃什么？|Nǐ mèimei xǐhuan chī shénme?|¿Qué le gusta comer a tu hermana menor?|Oral Exam Sentences
她喜欢吃水果。|Tā xǐhuan chī shuǐguǒ.|A ella le gusta comer fruta.|Oral Exam Sentences
我喜欢吃面条。|Wǒ xǐhuan chī miàntiáo.|A mí me gusta comer fideos.|Oral Exam Sentences
他喜欢吃饺子。|Tā xǐhuan chī jiǎozi.|A él le gusta comer dumplings.|Oral Exam Sentences
你奶奶喜欢吃饺子和包子吗？|Nǐ nǎinai xǐhuan chī jiǎozi hé bāozi ma?|¿A tu abuela paterna le gustan los dumplings y los bollos al vapor?|Oral Exam Sentences
是的，她很喜欢。|Shì de, tā hěn xǐhuan.|Sí, a ella le gustan mucho.|Oral Exam Sentences
她喜欢吃饺子，但是不喜欢吃包子。|Tā xǐhuan chī jiǎozi, dànshì bù xǐhuan chī bāozi.|A ella le gustan los dumplings, pero no le gustan los bollos al vapor.|Oral Exam Sentences
我爷爷很喜欢。|Wǒ yéye hěn xǐhuan.|A mi abuelo paterno le gustan mucho.|Oral Exam Sentences
你喜欢不喜欢吃面条儿？|Nǐ xǐhuan bu xǐhuan chī miàntiáo?|¿Te gusta o no te gusta comer fideos?|Oral Exam Sentences
我喜欢吃面条。|Wǒ xǐhuan chī miàntiáo.|Sí, me gusta comer fideos.|Oral Exam Sentences
我不喜欢吃面条。|Wǒ bù xǐhuan chī miàntiáo.|No, no me gusta comer fideos.|Oral Exam Sentences
他很喜欢吃面条。|Tā hěn xǐhuan chī miàntiáo.|A él le gusta mucho comer fideos.|Oral Exam Sentences
你的家小吗？|Nǐ de jiā xiǎo ma?|¿Tu casa es pequeña?|Oral Exam Sentences
是的，我的家很小。|Shì de, wǒ de jiā hěn xiǎo.|Sí, mi casa es muy pequeña.|Oral Exam Sentences
不，我的家不小。|Bù, wǒ de jiā bù xiǎo.|No, mi casa no es pequeña.|Oral Exam Sentences
他的家很大。|Tā de jiā hěn dà.|Su casa es muy grande.|Oral Exam Sentences
你的家大吗？|Nǐ de jiā dà ma?|¿Tu casa es grande?|Oral Exam Sentences
是的，很大。|Shì de, hěn dà.|Sí, es muy grande.|Oral Exam Sentences
不，不大。|Bù, bú dà.|No, no es grande.|Oral Exam Sentences
他们的家不太大。|Tāmen de jiā bú tài dà.|Su casa no es muy grande.|Oral Exam Sentences
你要什么？|Nǐ yào shénme?|¿Qué quieres?|Oral Exam Sentences
我要一杯咖啡。|Wǒ yào yì bēi kāfēi.|Quiero una taza de café.|Oral Exam Sentences
我要茶。|Wǒ yào chá.|Quiero té.|Oral Exam Sentences
他要点心。|Tā yào diǎnxīn.|Él quiere dim sum.|Oral Exam Sentences
你现在要喝茶吗？|Nǐ xiànzài yào hē chá ma?|¿Ahora quieres beber té?|Oral Exam Sentences
是的，我现在要喝茶。|Shì de, wǒ xiànzài yào hē chá.|Sí, ahora quiero beber té.|Oral Exam Sentences
不，我现在不要喝茶。我要喝咖啡。|Bù, wǒ xiànzài bú yào hē chá. Wǒ yào hē kāfēi.|No, ahora no quiero beber té. Quiero beber café.|Oral Exam Sentences
她现在想喝水。|Tā xiànzài xiǎng hē shuǐ.|Ella ahora quiere beber agua.|Oral Exam Sentences
你现在要吃点心吗？|Nǐ xiànzài yào chī diǎnxīn ma?|¿Ahora quieres comer dim sum?|Oral Exam Sentences
是的，我要吃点心。|Shì de, wǒ yào chī diǎnxīn.|Sí, quiero comer dim sum.|Oral Exam Sentences
不，谢谢。我现在不吃。|Bù, xièxie. Wǒ xiànzài bù chī.|No, gracias. Ahora no como.|Oral Exam Sentences
他下午吃点心。|Tā xiàwǔ chī diǎnxīn.|Él por la tarde come dim sum.|Oral Exam Sentences
你们家一共有几口人？|Nǐmen jiā yīgòng yǒu jǐ kǒu rén?|¿En total, cuántas personas hay en tu familia?|Oral Exam Sentences
我家一共有五口人。|Wǒ jiā yīgòng yǒu wǔ kǒu rén.|En mi familia hay cinco personas en total.|Oral Exam Sentences
我家有四口人：爸爸、妈妈、哥哥和我。|Wǒ jiā yǒu sì kǒu rén: bàba, māma, gēge hé wǒ.|Mi familia tiene cuatro personas: papá, mamá, hermano mayor y yo.|Oral Exam Sentences
他们家有三口人。|Tāmen jiā yǒu sān kǒu rén.|Su familia tiene tres personas.|Oral Exam Sentences
你们家有没有狗？|Nǐmen jiā yǒu méiyǒu gǒu?|¿En tu familia hay perro?|Oral Exam Sentences
有，我们家有一只狗。|Yǒu, wǒmen jiā yǒu yì zhī gǒu.|Sí, en nuestra familia hay un perro.|Oral Exam Sentences
没有，我们家没有狗。|Méiyǒu, wǒmen jiā méiyǒu gǒu.|No, en nuestra familia no hay perro.|Oral Exam Sentences
有，我们有一只猫和一只狗。|Yǒu, wǒmen yǒu yì zhī māo hé yì zhī gǒu.|Sí, tenemos un gato y un perro.|Oral Exam Sentences
你妈妈做什么工作？|Nǐ māma zuò shénme gōngzuò?|¿A qué se dedica tu mamá? / ¿Qué trabajo hace tu mamá?|Oral Exam Sentences
我妈妈是老师。|Wǒ māma shì lǎoshī.|Mi mamá es profesora.|Oral Exam Sentences
她是医生。|Tā shì yīshēng.|Ella es doctora.|Oral Exam Sentences
我爸爸是工程师。|Wǒ bàba shì gōngchéngshī.|Mi papá es ingeniero.|Oral Exam Sentences
你爸爸做什么工作？|Nǐ bàba zuò shénme gōngzuò?|¿A qué se dedica tu papá?|Oral Exam Sentences
我爸爸是律师。|Wǒ bàba shì lǜshī.|Mi papá es abogado.|Oral Exam Sentences
他是商人。|Tā shì shāngrén.|Él es empresario/comerciante.|Oral Exam Sentences
她妈妈是记者。|Tā māma shì jìzhě.|Su mamá es periodista.|Oral Exam Sentences
你哥哥是工程师吗？|Nǐ gēge shì gōngchéngshī ma?|¿Tu hermano mayor es ingeniero?|Oral Exam Sentences
是的，他是工程师。|Shì de, tā shì gōngchéngshī.|Sí, él es ingeniero.|Oral Exam Sentences
不是，他是学生。|Búshì, tā shì xuésheng.|No, él es estudiante.|Oral Exam Sentences
不，我姐姐是工程师。|Bù, wǒ jiějie shì gōngchéngshī.|No, mi hermana mayor es ingeniera.|Oral Exam Sentences
你妹妹是律师吗？|Nǐ mèimei shì lǜshī ma?|¿Tu hermana menor es abogada?|Oral Exam Sentences
对，她是律师。|Duì, tā shì lǜshī.|Correcto, ella es abogada.|Oral Exam Sentences
不，她不是律师。她是医生。|Bù, tā bú shì lǜshī. Tā shì yīshēng.|No, ella no es abogada. Es doctora.|Oral Exam Sentences
我弟弟是律师。|Wǒ dìdi shì lǜshī.|Mi hermano menor es abogado.|Oral Exam Sentences
你做什么工作？|Nǐ zuò shénme gōngzuò?|¿A qué te dedicas?|Oral Exam Sentences
我是学生。|Wǒ shì xuésheng.|Soy estudiante.|Oral Exam Sentences
我学习汉语。|Wǒ xuéxí Hànyǔ.|Estudio chino.|Oral Exam Sentences
他是老师。|Tā shì lǎoshī.|Él es profesor.|Oral Exam Sentences
你的小猫也是一口人吗？|Nǐ de xiǎo māo yě shì yì kǒu rén ma?|¿Tu gatito también cuenta como una boca/persona? (Pregunta cultural/jocosa)|Oral Exam Sentences
不是，小猫不是一口人。|Búshì, xiǎo māo bú shì yì kǒu rén.|No, el gatito no cuenta como una persona.|Oral Exam Sentences
对，在我们家，小猫也是一口人！|Duì, zài wǒmen jiā, xiǎo māo yě shì yì kǒu rén!|¡Sí, en nuestra familia, el gatito también cuenta como una persona! (Respuesta humorística)|Oral Exam Sentences
狗也是一口人吗？|Gǒu yě shì yì kǒu rén ma?|¿El perro también es una persona?|Oral Exam Sentences
你有没有哥哥？|Nǐ yǒu méiyǒu gēge?|¿Tienes hermano mayor?|Oral Exam Sentences
有，我有一个哥哥。|Yǒu, wǒ yǒu yí gè gēge.|Sí, tengo un hermano mayor.|Oral Exam Sentences
没有，我没有哥哥。|Méiyǒu, wǒ méiyǒu gēge.|No, no tengo hermano mayor.|Oral Exam Sentences
我有两个哥哥。|Wǒ yǒu liǎng gè gēge.|Tengo dos hermanos mayores.|Oral Exam Sentences
你弟弟今年多大？|Nǐ dìdi jīnnián duō dà?|¿Cuántos años tiene tu hermano menor este año?|Oral Exam Sentences
我弟弟今年二十岁。|Wǒ dìdi jīnnián èrshí suì.|Mi hermano menor tiene 20 años este año.|Oral Exam Sentences
他今年十五岁。|Tā jīnnián shíwǔ suì.|Él tiene 15 años este año.|Oral Exam Sentences
我妹妹今年十岁。|Wǒ mèimei jīnnián shí suì.|Mi hermana menor tiene 10 años este año.|Oral Exam Sentences
你有儿子吗？|Nǐ yǒu érzi ma?|¿Tienes hijo?|Oral Exam Sentences
有，我有一个儿子。|Yǒu, wǒ yǒu yí gè érzi.|Sí, tengo un hijo.|Oral Exam Sentences
没有，我没有儿子。|Méiyǒu, wǒ méiyǒu érzi.|No, no tengo hijo.|Oral Exam Sentences
我有一个女儿。|Wǒ yǒu yí gè nǚ'ér.|Tengo una hija.|Oral Exam Sentences
你女儿喜欢吃什么？|Nǐ nǚ'ér xǐhuan chī shénme?|¿Qué le gusta comer a tu hija?|Oral Exam Sentences
她喜欢吃冰淇淋。|Tā xǐhuan chī bīngqílín.|A ella le gusta comer helado.|Oral Exam Sentences
我儿子喜欢吃水果。|Wǒ érzi xǐhuan chī shuǐguǒ.|A mi hijo le gusta comer fruta.|Oral Exam Sentences
他喜欢吃巧克力。|Tā xǐhuan chī qiǎokèlì.|A él le gusta comer chocolate.|Oral Exam Sentences
你姐姐喜欢做什么？|Nǐ jiějie xǐhuan zuò shénme?|¿Qué le gusta hacer a tu hermana mayor?|Oral Exam Sentences
她喜欢看书。|Tā xǐhuan kàn shū.|A ella le gusta leer libros.|Oral Exam Sentences
她喜欢听音乐。|Tā xǐhuan tīng yīnyuè.|A ella le gusta escuchar música.|Oral Exam Sentences
我喜欢看电影。|Wǒ xǐhuan kàn diànyǐng.|A mí me gusta ver películas.|Oral Exam Sentences
你朋友的家漂亮不漂亮？|Nǐ péngyou de jiā piàoliang bu piàoliang?|¿La casa de tu amigo es bonita o no?|Oral Exam Sentences
很漂亮。|Hěn piàoliang.|Es muy bonita.|Oral Exam Sentences
不漂亮。|Bù piàoliang.|No es bonita.|Oral Exam Sentences
他的家非常大，也很漂亮。|Tā de jiā fēicháng dà, yě hěn piàoliang.|Su casa es muy grande y también muy bonita.|Oral Exam Sentences
你们家有什么？有咖啡吗？有茶吗？有点心吗？|Nǐmen jiā yǒu shénme? Yǒu kāfēi ma? Yǒu chá ma? Yǒu diǎnxīn ma?|¿Qué hay en tu casa? ¿Hay café? ¿Hay té? ¿Hay dim sum?|Oral Exam Sentences
我们家有咖啡和茶，但是没有点心。|Wǒmen jiā yǒu kāfēi hé chá, dànshì méiyǒu diǎnxīn.|En nuestra casa hay café y té, pero no hay dim sum.|Oral Exam Sentences
有，我们都有。|Yǒu, wǒmen dōu yǒu.|Sí, tenemos todo.|Oral Exam Sentences
他家有水果和点心。|Tā jiā yǒu shuǐguǒ hé diǎnxīn.|En su casa hay fruta y dim sum.|Oral Exam Sentences
你喜欢弹钢琴吗？|Nǐ xǐhuan tán gāngqín ma?|¿Te gusta tocar el piano?|Oral Exam Sentences
我喜欢弹钢琴。|Wǒ xǐhuan tán gāngqín.|Sí, me gusta tocar el piano.|Oral Exam Sentences
我不喜欢弹钢琴。|Wǒ bù xǐhuan tán gāngqín.|No, no me gusta tocar el piano.|Oral Exam Sentences
他喜欢拉小提琴。|Tā xǐhuan lā xiǎotíqín.|A él le gusta tocar el violín.|Oral Exam Sentences
秘鲁的孩子忙不忙？|Bìlǔ de háizi máng bu máng?|¿Los niños de Perú están ocupados o no?|Oral Exam Sentences
秘鲁的孩子很忙。|Bìlǔ de háizi hěn máng.|Los niños de Perú están muy ocupados.|Oral Exam Sentences
他们不太忙。|Tāmen bú tài máng.|Ellos no están muy ocupados.|Oral Exam Sentences
中国的小孩也很忙。|Zhōngguó de xiǎohái yě hěn máng.|Los niños de China también están muy ocupados.|Oral Exam Sentences
晚上你有汉语课吗？|Wǎnshang nǐ yǒu Hànyǔ kè ma?|¿Por la noche tienes clase de chino?|Oral Exam Sentences
是的，晚上我有汉语课。|Shì de, wǎnshang wǒ yǒu Hànyǔ kè.|Sí, por la noche tengo clase de chino.|Oral Exam Sentences
不，我早上有汉语课。|Bù, wǒ zǎoshang yǒu Hànyǔ kè.|No, por la mañana tengo clase de chino.|Oral Exam Sentences
她下午有汉语课。|Tā xiàwǔ yǒu Hànyǔ kè.|Ella por la tarde tiene clase de chino.|Oral Exam Sentences
你学习葡萄牙语吗？|Nǐ xuéxí Pútáoyá yǔ ma?|¿Estudias portugués?|Oral Exam Sentences
是的，我学习葡萄牙语。|Shì de, wǒ xuéxí Pútáoyá yǔ.|Sí, estudio portugués.|Oral Exam Sentences
不，我学习汉语和英语。|Bù, wǒ xuéxí Hànyǔ hé Yīngyǔ.|No, estudio chino e inglés.|Oral Exam Sentences
他学习法语。|Tā xuéxí Fǎyǔ.|Él estudia francés.|Oral Exam Sentences
你会说什么语言？|Nǐ huì shuō shénme yǔyán?|¿Qué idiomas sabes hablar?|Oral Exam Sentences
我会说汉语和西班牙语。|Wǒ huì shuō Hànyǔ hé Xībānyá yǔ.|Sé hablar chino y español.|Oral Exam Sentences
我会说一点儿英语。|Wǒ huì shuō yìdiǎnr Yīngyǔ.|Sé hablar un poco de inglés.|Oral Exam Sentences
他会说三种语言。|Tā huì shuō sān zhǒng yǔyán.|Él sabe hablar tres idiomas.|Oral Exam Sentences
你爸爸会说什么语言？|Nǐ bàba huì shuō shénme yǔyán?|¿Qué idiomas sabe hablar tu papá?|Oral Exam Sentences
我爸爸会说英语。|Wǒ bàba huì shuō Yīngyǔ.|Mi papá sabe hablar inglés.|Oral Exam Sentences
他会说汉语和法语。|Tā huì shuō Hànyǔ hé Fǎyǔ.|Él sabe hablar chino y francés.|Oral Exam Sentences
我妈妈只会说西班牙语。|Wǒ māma zhǐ huì shuō Xībānyá yǔ.|Mi mamá solo sabe hablar español.|Oral Exam Sentences
早上你吃什么？|Zǎoshang nǐ chī shénme?|¿Por la mañana qué comes?|Oral Exam Sentences
我吃面包和喝咖啡。|Wǒ chī miànbāo hé hē kāfēi.|Como pan y bebo café.|Oral Exam Sentences
我吃鸡蛋和水果。|Wǒ chī jīdàn hé shuǐguǒ.|Como huevos y fruta.|Oral Exam Sentences
他喝牛奶。|Tā hē niúnǎi.|Él bebe leche.|Oral Exam Sentences
下午你喜欢做什么？|Xiàwǔ nǐ xǐhuan zuò shénme?|¿Por la tarde qué te gusta hacer?|Oral Exam Sentences
我喜欢看书和听音乐。|Wǒ xǐhuan kàn shū hé tīng yīnyuè.|Me gusta leer libros y escuchar música.|Oral Exam Sentences
我喜欢跟朋友一起喝茶。|Wǒ xǐhuan gēn péngyou yìqǐ hē chá.|Me gusta tomar té con amigos.|Oral Exam Sentences
她喜欢运动。|Tā xǐhuan yùndòng.|A ella le gusta hacer ejercicio.|Oral Exam Sentences
你几点有汉语课？|Nǐ jǐ diǎn yǒu Hànyǔ kè?|¿A qué hora tienes clase de chino?|Oral Exam Sentences
我九点有汉语课。|Wǒ jiǔ diǎn yǒu Hànyǔ kè.|Tengo clase de chino a las nueve.|Oral Exam Sentences
下午三点有汉语课。|Xiàwǔ sān diǎn yǒu Hànyǔ kè.|A las tres de la tarde tengo clase de chino.|Oral Exam Sentences
他的课在十点半。|Tā de kè zài shí diǎn bàn.|Su clase es a las diez y media.|Oral Exam Sentences
你明天有没有意大利语课？|Nǐ míngtiān yǒu méiyǒu Yìdàlì yǔ kè?|¿Mañana tienes clase de italiano?|Oral Exam Sentences
有，我明天有意大利语课。|Yǒu, wǒ míngtiān yǒu Yìdàlì yǔ kè.|Sí, mañana tengo clase de italiano.|Oral Exam Sentences
没有，我明天没有课。|Méiyǒu, wǒ míngtiān méiyǒu kè.|No, mañana no tengo clase.|Oral Exam Sentences
她明天有英语课。|Tā míngtiān yǒu Yīngyǔ kè.|Ella mañana tiene clase de inglés.|Oral Exam Sentences
你几点吃饭？|Nǐ jǐ diǎn chī fàn?|¿A qué hora comes?|Oral Exam Sentences
我十二点吃午饭。|Wǒ shí'èr diǎn chī wǔfàn.|Como el almuerzo a las doce.|Oral Exam Sentences
我晚上七点吃晚饭。|Wǒ wǎnshang qī diǎn chī wǎnfàn.|Ceno a las siete de la noche.|Oral Exam Sentences
他一点吃午饭。|Tā yī diǎn chī wǔfàn.|Él almuerza a la una.|Oral Exam Sentences
你妈妈几点睡觉？|Nǐ māma jǐ diǎn shuìjiào?|¿A qué hora se duerme tu mamá?|Oral Exam Sentences
我妈妈十一点睡觉。|Wǒ māma shíyī diǎn shuìjiào.|Mi mamá se duerme a las once.|Oral Exam Sentences
她通常十点睡觉。|Tā tōngcháng shí diǎn shuìjiào.|Ella normalmente se duerme a las diez.|Oral Exam Sentences
我爸爸睡得晚。|Wǒ bàba shuì de wǎn.|Mi papá se duerme tarde.|Oral Exam Sentences
你哥哥几点起床？|Nǐ gēge jǐ diǎn qǐchuáng?|¿A qué hora se levanta tu hermano mayor?|Oral Exam Sentences
他六点起床。|Tā liù diǎn qǐchuáng.|Él se levanta a las seis.|Oral Exam Sentences
我哥哥很早起床。|Wǒ gēge hěn zǎo qǐchuáng.|Mi hermano mayor se levanta muy temprano.|Oral Exam Sentences
我七点半起床。|Wǒ qī diǎn bàn qǐchuáng.|Yo me levanto a las siete y media.|Oral Exam Sentences
现在几点？|Xiànzài jǐ diǎn?|¿Qué hora es ahora?|Oral Exam Sentences
现在九点。|Xiànzài jiǔ diǎn.|Ahora son las nueve.|Oral Exam Sentences
现在两点半。|Xiànzài liǎng diǎn bàn.|Ahora son las dos y media.|Oral Exam Sentences
差十分五点。|Chà shí fēn wǔ diǎn.|Son las cinco menos diez.|Oral Exam Sentences
你喜欢看电影吗？|Nǐ xǐhuan kàn diànyǐng ma?|¿Te gusta ver películas?|Oral Exam Sentences
我很喜欢看电影。|Wǒ hěn xǐhuan kàn diànyǐng.|Me gusta mucho ver películas.|Oral Exam Sentences
我不常看电影。|Wǒ bù cháng kàn diànyǐng.|No veo películas a menudo.|Oral Exam Sentences
他喜欢在家看电影。|Tā xǐhuan zài jiā kàn diànyǐng.|A él le gusta ver películas en casa.|Oral Exam Sentences
你想去电影院看电影吗？|Nǐ xiǎng qù diànyǐngyuàn kàn diànyǐng ma?|¿Quieres ir al cine a ver una película?|Oral Exam Sentences
是的，我想去。|Shì de, wǒ xiǎng qù.|Sí, quiero ir.|Oral Exam Sentences
不，我今天不想去。|Bù, wǒ jīntiān bù xiǎng qù.|No, hoy no quiero ir.|Oral Exam Sentences
我们周末去吧。|Wǒmen zhōumò qù ba.|Vamos el fin de semana.|Oral Exam Sentences
你想跟我一起练习汉语吗？|Nǐ xiǎng gēn wǒ yìqǐ liànxí Hànyǔ ma?|¿Quieres practicar chino conmigo?|Oral Exam Sentences
